JS0034,教一楼408,80
JS0415,教一楼410,20
JS0035,教一楼501,66
JS0036,教一楼502,80
JS0037,教一楼503,80
JS0038,教一楼504,80
JS0039,教一楼505,80
JS0040,教一楼506,80
JS0041,教一楼507,80
JS0416,教一楼508,16
JS0394,北区艺媒楼1104,157
JS0395,北区艺媒楼1106,40
JS0400,北区艺媒楼1202,50
JS0401,北区艺媒楼1204,70
JS0402,北区艺媒楼1208,70
JS0407,北区艺媒楼1312,70
JS0408,北区艺媒楼1408A,30
JS0409,北区艺媒楼1408B,35
JS0410,北区艺媒楼1408C,35
JS0411,北区艺媒楼1408D,35
JS0414,北区艺媒楼1417,35
JS0413,北区艺媒楼1419,50
JS0412,北区艺媒楼1421,35
JS0396,北区艺媒楼3101,74
JS0397,北区艺媒楼3102,50
JS0398,北区艺媒楼3103,67
JS0399,北区艺媒楼3104,50
JS0403,北区艺媒楼3203,50
JS0404,北区艺媒楼3204,30
JS0405,北区艺媒楼3205,30
JS0406,北区艺媒楼3206,30
JS0132,北区综合楼101,188
JS0133,北区综合楼102,188
JS0134,北区综合楼103,188
JS0135,北区综合楼104,188
JS0136,北区综合楼105,188
JS0137,北区综合楼106,153
JS0138,北区综合楼107,153
JS0139,北区综合楼108,104
JS0140,北区综合楼109,104
JS0141,北区综合楼110,90
JS0142,北区综合楼111,90
JS0194,北区综合楼112,70
JS0198,北区综合楼117,70
JS0143,北区综合楼201,116
JS0144,北区综合楼202,188
JS0145,北区综合楼203,188
JS0146,北区综合楼204,188
JS0147,北区综合楼205,188
JS0148,北区综合楼206,153
JS0149,北区综合楼207,153
JS0150,北区综合楼208,104
JS0151,北区综合楼209,104
JS0152,北区综合楼210,92
JS0153,北区综合楼211,92
JS0154,北区综合楼212,98
JS0155,北区综合楼213,98
JS0156,北区综合楼214,98
JS0157,北区综合楼215,98
JS0158,北区综合楼216,98
JS0159,北区综合楼217,98
JS0160,北区综合楼301,188
JS0161,北区综合楼302,188
JS0162,北区综合楼303,188
JS0163,北区综合楼304,188
JS0164,北区综合楼305,188
JS0165,北区综合楼306,153
JS0166,北区综合楼307,156
JS0167,北区综合楼308,103
JS0168,北区综合楼309,104
JS0169,北区综合楼310,104
JS0170,北区综合楼311,90
JS0171,北区综合楼312,90
JS0184,北区综合楼313,70
JS0185,北区综合楼314,160
JS0186,北区综合楼315,70
JS0187,北区综合楼316,160
JS0172,北区综合楼401,188
JS0173,北区综合楼402,188
JS0174,北区综合楼403,188
JS0175,北区综合楼404,188
JS0176,北区综合楼405,188
JS0177,北区综合楼406,160
JS0178,北区综合楼407,160
JS0179,北区综合楼408,104
JS0180,北区综合楼409,104
JS0181,北区综合楼410,104
JS0182,北区综合楼411,90
JS0183,北区综合楼412,90
JS0188,北区综合楼413,120
JS0189,北区综合楼414,80
JS0190,北区综合楼415,95
JS0191,北区综合楼416,160
JS0192,北区综合楼动画实验室,40
JS0193,北区综合楼排演厅,55
JS0195,北区综合楼数码钢琴室,50
JS0196,北区综合楼舞蹈房,50
JS0197,北区综合楼音频实验室,50
