115121,30,11
115122,32,11
115123,32,11
116121,23,11
116122,22,11
121121,24,12
121122,25,12
122121,23,12
122122,29,12
123121,20,12
123122,24,12
131121,34,13
141121,34,14
141122,32,14
141123,31,14
142121,30,14
142122,30,14
161121,26,16
161122,24,16
163122,23,16
163123,5,16
163124,6,16
171121,28,17
171122,26,17
172121,31,17
172122,32,17
173121,22,17
181121,12,20
191121,31,19
191122,29,19
191123,28,19
191124,25,19
192121,33,19
192122,31,19
193121,24,19
193122,25,19
193123,26,19
052121,34,05
052122,37,05
052123,34,05
052124,36,05
052125,31,05
052126,42,05
162121,36,16
162122,35,16
162123,23,16
162124,23,16
162125,20,16
162126,21,16
084123,32,08
033124,26,03
033125,28,03
350120,0,42
12y121,0,12
074122,19,07
12y122,0,12
174122,25,17
174121,31,17
175121,32,17
175122,33,17
061125,26,06
033123,29,03
201123,30,18
201124,20,18
201125,11,18
201126,2,18
011123,30,01
052127,29,05
042123,15,04
010121,32,01
011121,42,01
011122,38,01
012121,23,01
015121,29,01
015122,28,01
020121,31,02
021121,35,02
021122,37,02
021123,35,02
021124,35,02
022121,34,02
022122,34,02
024121,30,02
025121,26,02
026121,31,02
026122,31,02
031121,29,03
031122,29,03
031123,28,03
031124,29,03
033121,32,03
033122,28,03
034121,25,03
040121,28,04
041121,29,04
041122,30,04
042121,28,04
042122,27,04
043121,29,04
045121,32,04
050121,31,05
051121,40,05
051122,40,05
051123,33,05
051124,27,05
054121,31,05
054122,29,05
055121,27,05
055122,28,05
060121,30,06
061121,29,06
061122,29,06
061123,31,06
061124,31,06
064121,27,06
071121,37,07
071122,31,07
071123,34,07
072121,34,07
072122,30,07
072123,31,07
072124,31,07
072125,30,07
073121,34,23
073122,27,23
074121,34,07
075121,34,07
075122,30,07
075123,27,07
075124,29,07
076121,24,23
076122,26,23
080121,34,08
080122,26,08
081121,30,08
081122,28,08
082121,20,08
082122,28,08
083121,32,08
084121,33,08
084122,32,08
085121,23,08
086121,25,08
086122,27,08
087121,39,08
088121,28,08
089121,39,08
089122,40,08
091121,25,09
091122,20,09
091123,21,09
091124,25,09
111121,31,11
111122,31,11
113121,30,11
113122,29,11
114121,27,11
114122,35,11
114123,34,11
142131,29,14
142132,29,14
042133,23,04
010131,29,01
x16131,26,01
x11131,39,01
x11132,40,01
x11133,34,01
x11134,32,01
x11135,30,01
x11136,36,01
020131,33,02
021131,34,02
021132,36,02
021133,33,02
021134,35,02
022131,32,02
022132,34,02
025131,29,02
024131,31,02
026131,33,02
026132,31,02
031131,29,03
033131,34,03
031132,30,03
031133,27,03
031134,25,03
031135,25,03
033132,36,03
030131,29,03
034131,24,03
034132,24,03
040131,33,04
041131,36,04
045132,32,04
042131,25,04
042132,24,04
043131,30,04
045131,32,04
050131,31,05
051131,37,05
051132,40,05
051133,28,05
051134,28,05
052131,37,05
052132,41,05
052133,34,05
052134,32,05
052135,35,05
052136,43,05
054131,28,05
054132,26,05
055131,25,05
055132,22,05
060131,29,06
061131,34,06
061132,32,06
061133,31,06
061134,31,06
064131,33,06
064132,28,06
071131,27,07
071132,29,07
071133,29,07
072131,35,07
072132,34,07
072133,32,07
072134,32,07
072135,33,07
073131,29,23
073132,32,23
074131,22,07
074132,29,07
075131,32,07
075132,32,07
075133,30,07
075134,28,07
076131,28,23
076132,26,23
080131,33,08
080132,32,08
081131,34,08
081132,30,08
082131,19,08
082132,20,08
083131,29,08
084131,32,08
084132,34,08
085131,24,08
086131,28,08
086132,27,08
087131,40,08
088131,21,08
089131,33,08
089132,36,08
091131,21,09
091132,20,09
091133,20,09
091134,21,09
111131,28,11
111132,27,11
113131,33,11
113132,35,11
114131,32,11
114132,31,11
114133,33,11
115131,27,11
115132,24,11
115133,30,11
116131,27,11
116132,27,11
121131,25,12
121132,25,12
122131,24,12
122132,21,12
123131,28,12
123132,24,12
131131,29,13
141131,33,14
141132,32,14
141133,31,14
165131,19,16
165132,25,16
161131,25,16
161132,26,16
042134,15,04
164131,32,16
166131,22,16
166132,21,16
163131,0,16
163132,23,16
163133,11,16
163134,9,16
171131,35,17
172131,29,17
172132,27,17
173131,26,17
174131,26,17
174132,28,17
175131,32,17
175132,33,17
181131,17,20
191131,28,19
191132,30,19
191133,30,19
191134,29,19
192131,24,19
192132,25,19
193131,26,19
193132,28,19
193133,29,19
3502131,2,42
3503131,1,42
12y131,0,12
12y132,0,12
164132,34,16
043132,28,04
191135,25,19
084133,33,08
201133,28,18
201134,11,18
201135,14,18
011131,30,01
011132,30,01
012131,30,01
015131,30,01
015132,30,01
016131,0,01
201136,4,18
011134,30,01
011133,30,01
021144,27,02
010141,35,01
x11141,31,01
x11142,27,01
x11143,31,01
x11144,28,01
x11145,28,01
x16141,24,01
020141,27,02
021141,41,02
021143,28,02
022141,30,02
022142,28,02
024141,32,02
025141,28,02
026141,31,02
026142,27,02
030141,28,03
031141,28,03
031142,22,03
031143,28,03
031144,26,03
031145,25,03
033141,35,03
033142,35,03
034141,31,03
034142,28,03
040141,29,04
041141,30,04
041142,33,04
042141,34,04
042142,30,04
043141,34,04
045141,33,04
045142,29,04
050141,31,05
051141,38,05
051142,35,05
051143,31,05
051144,29,05
052141,35,05
052142,38,05
052143,33,05
052144,34,05
052145,37,05
052147,27,05
054141,27,05
055141,25,05
055142,27,05
061141,27,06
061142,27,06
061144,30,06
064141,31,06
071141,36,07
071142,32,07
072141,29,07
072142,30,07
072144,30,07
072145,28,07
074141,27,07
075141,29,07
075142,30,07
080142,30,08
081141,36,08
082141,24,08
082142,27,08
084141,48,08
084142,45,08
085141,20,08
086141,26,08
086142,27,08
087141,40,08
088141,29,08
089141,37,08
089142,38,08
091141,21,09
091142,24,09
091143,24,09
091144,20,09
111141,33,11
111142,33,11
113141,30,11
113142,28,11
114141,29,11
114142,30,11
114143,25,11
115141,26,11
115142,29,11
115143,29,11
